chauffage 2000
réfrigérateur_50L 100
réfrigérateur_200L 300
plaque_électrique 2000
four 2500
micro-onde 800
cafetière	1000
grille_pain	1000
hotte_aspirante	150
mixer	200
lave_vaisselle 1500
machine_à_laver	3000
sèche_linge	3000
fer_à_repasser 1000
machine_à_coudre 100
aspirateur 800
tondeuse_électrique	1500
chauffe-eau	2000
convecteur_électrique	2000
sèche-cheveux	600
rasoir_électrique	20
chargeur_portable	5
tv_cathodique 100
tv_lcd 200
tv_plasma 300
pc 150
ordinateur_portable 30
imprimante-photocopieuse 800
scanner	600
routeur WIFI 5
radio-réveil 10
ventilateur 60
climatisation 1200
